inn,latitude,longitude
2921005180,64.363236,41.05715
6927002471,56.957555,37.169079
6006000696,56.831861,28.348836
3511001909,59.966466,38.139547
7621004258,57.449054,40.256769
6012000729,56.798951,28.937008
6912005984,56.212154,32.811675
1307076072,54.554859,44.060559
2404015006,55.806181,93.286
7227001273,56.931794,67.25276
3221002280,52.851087,34.390653
7215005516,56.636654,66.660492
2819002124,51.656288,128.919832
2919005721,64.024053,43.186408
7224013707,56.928725,65.673585
7219001329,57.273283,66.194383
2812002260,50.322904,127.742949
6005003310,57.891281,30.352016
4330001514,57.556584,48.998931
7619000986,57.83908,38.480269
2829000327,52.30747,127.221378
5040036267,55.442194,38.1026
6442003591,51.187589,45.78625
1641000719,55.280128,50.723678
2416006133,55.679824,95.740035
2907001867,61.055841,42.091147
3245011051,53.372338,34.16055
3820011950,53.119778,103.145612
3832000368,54.468437,101.17036
6210000400,54.57923,41.8305
5712000610,53.268961,37.347889
7438007820,55.037877,61.113287
1704002493,51.320968,95.593682
6222000154,53.792965,40.488417
1905004525,53.021914,90.406064
4237002785,56.378365,87.385191
4203002716,55.621618,86.257994
4221007851,53.787997,87.220359
4204002652,54.273519,85.97639
4243003794,55.925097,88.199667
2408001477,56.90548,93.172489
7827661874,60.184963,29.499838
4909058534,59.625144,150.785481
6224002012,54.033506,42.104945
4329001421,58.616102,50.337546
4230026120,55.727775,84.90567
3835060679,55.047043,99.034993
7417005188,55.175704,58.77464
7417002405,55.2032,59.004914
3520001800,58.820673,36.414135
4326001695,60.284092,47.050826
6821000160,51.986599,41.125008
2339008013,44.820797,40.729498
2325009169,44.387269,39.663503
3008010278,46.698744,47.838334
6648001421,57.732609,59.870944
6404004918,52.342686,46.557543
2354005930,45.682314,40.266354
5535003120,56.806935,74.643541
6312026076,53.252425,50.299718
5518006610,56.017196,71.474752
6357010245,53.645612,52.109482
3415007753,48.663343,45.368928
2314010596,44.715976,40.870372
3311016601,56.505565,38.844725
2610005853,44.775661,41.786151
2337016763,45.024068,37.91186
5011005930,55.230287,39.042157
2012200135,43.15399,45.885145
5248004144,56.677636,43.452067
5238001923,55.117849,43.885181
2354005881,45.847982,40.431608
1003003330,62.039612,34.059139
6376000891,53.663826,50.673309
2353011152,45.453726,39.012566
2372000011,44.988075,41.065594
5528004027,55.113756,73.581715
2336005166,45.237703,38.295477
8709004708,64.733015,177.531148
6664029537,56.764546,60.708668
3415007898,48.70193,45.009701
6714004516,55.016843,31.912525
6325019277,53.176501,48.392702
2522010501,43.946369,131.657762
6652005010,56.3046,60.942338
3309459733,56.001418,40.05551
5101700745,67.587419,33.411912
5646007578,51.192867,55.094305
2313005794,45.428659,40.573434
5103010232,67.613635,33.686886
6631000684,60.145981,59.953679
3414500652,50.324595,44.812117
6617003122,59.763602,60.156761
3430030563,48.351037,43.085204
1402006903,58.982305,126.207413
3431050675,50.8191,42.035586
3401001134,50.183665,42.158529
3410060320,50.313914,45.700919
1210000930,57.033311,48.385507
3430030612,48.612374,42.862826
0711035593,43.477134,43.642447
0543001617,42.816617,47.111184
6378001795,52.395011,50.058727
2506001228,45.970439,133.762227
6345004487,53.435652,49.921761
6418000705,51.793017,48.580486
4502000604,56.120452,63.631112
1102011589,63.574077,53.652868
4502006130,56.100083,63.591344
6380002411,52.882682,48.607472
1101461169,61.741776,50.773723
4510000541,55.435851,65.011975
4623002290,51.152885,35.344116
4718004094,60.144503,32.57435
5077000796,54.913867,37.567213
5003009280,55.558707,37.346335
3429032037,50.510512,45.895242
5205001580,55.586054,44.952928
7711046615,55.873208,37.525711
7725052136,55.670788,37.655814
7726033231,55.619523,37.583113
7825065611,60.199236,29.689715
7723585749,55.68464,37.772981
6146003200,48.044691,40.129603
5003009314,55.561283,37.724301
4706004942,59.89176,31.005352
7727051628,55.654096,37.58358
1208004158,56.522207,48.784503
7719019363,55.807203,37.797559
5045015550,54.845778,38.08007
4807014175,52.968934,38.046159
3314002340,55.790818,40.851768
7807018016,59.834456,30.127923
7728021231,55.660028,37.508211
2725025415,48.553344,135.120623
2723036098,48.343881,135.085347
4801002737,52.09413,37.830662
7731114221,55.735966,37.461005
7720152070,55.726649,37.836186
6148002480,47.8033,40.280044
0262003665,52.681809,55.682226
3317004338,56.001907,41.306792
4611001767,51.836161,36.255026
2348014373,44.853759,38.681941
1215040372,56.268077,47.84703
5209002746,57.968692,45.864798
5009014328,55.181889,37.708383
5629002386,51.60156,53.22775
1421001763,60.383241,120.520422
2705010322,53.138338,140.742766
7716015258,55.876228,37.730167
5031012693,55.767159,38.210416
7536084855,52.066534,113.482391
5007008047,56.457587,37.232761
5321028014,58.573337,31.335357
3419400757,50.685579,42.565574
7016001620,56.830039,83.461799
5048051186,55.235123,37.615928
5011006941,55.147536,39.21024
1431008976,61.397396,128.941292
7724040160,55.65145,37.644719
7718059902,55.827247,37.713189
7321318983,54.144646,48.399503
9105006006,45.422896,34.287724
9109006857,45.051035,34.604479
2608002326,45.705154,42.902101
6438005902,51.663887,44.928934
5246009838,56.333514,44.126459
6404000896,52.164166,46.727388
2328005853,45.638825,39.896176
6602003070,57.379479,62.297985
6625008999,56.955362,59.80287
5535002983,56.904099,74.334548
3327102302,56.115022,40.351263
2515007240,44.308808,134.940826
2105002111,55.305087,47.044807
6362005716,53.123339,49.367024
2706009834,50.097349,136.498998
0808900122,47.59874,44.474107
6625007956,56.885928,59.870082
7014005146,56.840207,85.617388
2522010741,44.197943,131.718533
2112001609,56.101268,46.924765
0102001973,45.071428,39.499794
7304000630,53.39162,47.214939
0105028405,44.58678,40.122138
2303007834,44.883943,39.65867
3004001988,45.858779,47.694433
6441017697,52.112203,47.18984
7521003042,51.856258,116.050818
2610004056,44.914187,41.689429
1435197410,61.976443,129.667275
6517001428,50.709496,142.722949
2103003328,55.007323,47.336661
1013100124,62.919512,34.466318
3528008469,59.117218,37.956659
6726009477,55.138866,33.642114
2306014452,46.692823,38.28529
3409100909,48.649601,43.607772
2533003337,44.419984,132.657479
2346004330,46.165862,39.636311
4526001935,55.155973,64.321692
4023005919,54.069212,34.332856
5607006323,51.183129,58.285427
6165031629,47.247696,39.676547
6150010979,47.422381,40.089296
3435110357,48.795303,44.743018
6111007362,46.855302,40.311395
2509003784,43.114917,133.121028
5642004939,52.029496,55.699114
4511008247,54.922979,64.420686
0261004440,53.467847,56.045325
6916008672,57.875405,35.04725
1121002950,61.795998,50.725573
0271002851,56.252477,54.919331
0266009308,53.360313,55.951109
4708005412,59.281096,32.462375
5211090130,56.383822,45.484524
0270004905,54.364189,59.450002
6943001108,56.936519,35.054526
1203002774,56.165213,48.311162
2707002091,46.820658,134.241056
3323003269,55.884085,39.872083
3319002008,55.482929,41.775784
3313002033,56.052919,42.236997
4602001425,51.434557,35.421407
4421003371,57.808055,42.355853
6725004211,53.972864,32.736522
0268003982,53.651414,55.936763
5320015686,58.307677,33.872289
6115000921,48.91263,41.362002
5302008140,57.915336,33.457474
5921010298,58.295519,57.686385
4012000725,54.987069,35.806811
0231002510,56.138614,54.409241
5809012778,53.390278,45.069071
1203002767,56.12988,48.35527
5207002268,57.501502,44.539963
6130002426,47.81536,39.623897
1110000573,61.121931,50.259402
5302008118,58.134045,33.125223
6924004343,56.739401,35.836995
4412000430,57.806881,42.987917
4717002344,59.532766,29.473733
4707010628,59.624567,28.829839
6915001089,57.070517,34.982598
6155032084,47.702136,40.150049
5307001500,58.773047,32.801506
4428002056,58.086627,41.671508
5946005483,57.705878,54.995482
7505002588,52.080129,113.442901
7527005550,51.669294,115.63833
7304004031,53.674089,47.435503
7316002825,53.910177,48.703582
7310009207,54.305041,49.774006
5945001020,57.035118,56.986687
5433108116,55.103111,83.062687
6441016630,52.569193,46.94911
6408901450,52.425352,47.21317
6712003443,54.430291,32.442971
3526011064,60.985611,46.480243
7324000211,53.908792,46.777091
3902801565,54.603441,22.153578
5448454782,54.985788,82.705328
6142024400,48.16904,40.789739
9104002979,44.755297,33.870304
9104002986,44.544209,33.962211
9111007713,45.303874,36.457937
2345008572,44.12802,41.476438
2501019158,44.131146,133.268261
5535003240,56.875576,74.580785
6601004184,57.872586,61.691829
0601011423,43.474596,44.57462
2101002174,55.008351,46.669114
1704002486,51.456713,95.607372
2608006507,45.69405,42.380341
1512014400,43.150491,44.71411
6634003041,58.035192,65.326709
4821009498,52.634892,38.493672
2607100391,45.376571,41.72723
4006000149,53.750957,34.760382
5510002205,56.251367,74.689795
2352016447,45.272283,37.40636
6604004048,56.934432,60.876716
4023008701,54.132709,34.346276
5256020647,56.225263,43.824015
2117002300,54.962804,47.53783
5519002087,55.329329,71.95748
2335009305,45.466225,39.476088
5520004258,54.966298,72.630938
6517006401,50.847584,142.664046
7450007760,55.285671,61.388234
4508004651,55.941072,64.446908
2601003761,44.652581,42.820713
2104002510,55.602266,46.851032
2608007525,45.895817,42.140832
6501073963,46.99385,142.733639
6508006532,49.072824,142.059858
3323001688,56.171277,39.978704
0264007961,56.085565,54.224467
5223004150,55.543852,42.19015
2521005026,43.511116,131.797935
7807022277,59.717327,30.088496
5809012030,53.262585,45.265945
4414001172,57.64216,40.775977
0216000606,54.584761,54.635994
3801035995,52.498083,103.846244
6713000597,54.902485,31.313312
7515002548,50.644677,116.301161
7510000642,49.704674,112.392483
1410002324,63.74273,121.632833
0301001400,53.500783,109.777487
0312002324,50.520386,106.27519
0309006632,51.714494,105.889848
0314003228,51.03285,107.78206
7811040938,59.927238,30.493501
5020072034,56.283185,36.913401
